scenario_id,site_id,site_name,horizon_year,case,ports,charger_power_kW,spare_capacity_kW,service_capacity_kW,capacity_basis,capacity_source,base_load_mean_kW,base_load_peak_kW,arrival_start_hr,arrival_end_hr,dwell_hr,sessions_per_day,energy_per_session_kWh,managed_charging_policy,model_rank,electrical_risk_level,source_note
SYN001_2026_baseline,SYN001,Synthetic Site 01,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,1.78,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2036_base,SYN001,Synthetic Site 01,2036,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,2.58,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2036_high,SYN001,Synthetic Site 01,2036,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,5.02,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2036_stress_combined,SYN001,Synthetic Site 01,2036,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,9.25,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2046_base,SYN001,Synthetic Site 01,2046,base,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,6.82,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2046_high,SYN001,Synthetic Site 01,2046,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,4.72,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2046_stress_combined,SYN001,Synthetic Site 01,2046,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,9.89,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2056_base,SYN001,Synthetic Site 01,2056,base,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,9.49,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2056_high,SYN001,Synthetic Site 01,2056,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,7.46,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN001_2056_stress_combined,SYN001,Synthetic Site 01,2056,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,34.5,55.1,8.0,16.0,3.0,6.36,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
